sample,channel,frame,angl,val
20180718-1315-0007,ch1,11,0,412.48392
20180718-1315-0007,ch1,11,0,391.13068
20180718-1315-0007,ch1,11,0,382.00867
20180718-1315-0007,ch1,11,0,374.86023
20180718-1315-0007,ch1,11,0,369.9436
20180718-1315-0007,ch1,11,0,365.95578
20180718-1315-0007,ch1,11,0,361.6434
20180718-1315-0007,ch1,11,0,355.69836
20180718-1315-0007,ch1,11,0,347.26526
20180718-1315-0007,ch1,11,0,336.60138
20180718-1315-0007,ch1,11,0,324.71805
20180718-1315-0007,ch1,11,0,313.16373
20180718-1315-0007,ch1,11,0,303.3269
20180718-1315-0007,ch1,11,0,296.25787
20180718-1315-0007,ch1,11,0,292.77487
20180718-1315-0007,ch1,11,0,293.26672
20180718-1315-0007,ch1,11,0,297.98004
20180718-1315-0007,ch1,11,0,306.2894
20180718-1315-0007,ch1,11,0,317.28467
20180718-1315-0007,ch1,11,0,329.36246
20180718-1315-0007,ch1,11,0,340.2154
20180718-1315-0007,ch1,11,0,348.06244
20180718-1315-0007,ch1,11,0,351.5168
20180718-1315-0007,ch1,11,0,350.55643
20180718-1315-0007,ch1,11,0,346.86758
20180718-1315-0007,ch1,11,0,343.4194
20180718-1315-0007,ch1,11,0,342.86905
20180718-1315-0007,ch1,11,0,347.76697
20180718-1315-0007,ch1,11,0,358.68994
20180718-1315-0007,ch1,11,0,374.01883
20180718-1315-0007,ch1,11,0,391.17978
20180718-1315-0007,ch1,11,0,406.03796
20180718-1315-0007,ch1,11,0,415.47272
20180718-1315-0007,ch1,11,0,418.12726
20180718-1315-0007,ch1,11,0,414.94867
20180718-1315-0007,ch1,11,0,409.13394
20180718-1315-0007,ch1,11,0,404.83643
20180718-1315-0007,ch1,11,0,405.82983
20180718-1315-0007,ch1,11,0,413.7713
20180718-1315-0007,ch1,11,0,428.00836
20180718-1315-0007,ch1,11,0,444.9689
20180718-1315-0007,ch1,11,0,460.11902
20180718-1315-0007,ch1,11,0,468.9891
20180718-1315-0007,ch1,11,0,469.85138
20180718-1315-0007,ch1,11,0,464.10468
20180718-1315-0007,ch1,11,0,455.62936
20180718-1315-0007,ch1,11,0,449.81732
20180718-1315-0007,ch1,11,0,450.84827
20180718-1315-0007,ch1,11,0,458.87042
20180718-1315-0007,ch1,11,0,469.78387
20180718-1315-0007,ch1,11,0,474.69336
20180718-1315-0007,ch1,11,0,461.6253
20180718-1315-0007,ch1,11,0,422.18872
20180718-1315-0007,ch1,11,0,355.9619
20180718-1315-0007,ch1,11,0,272.83444
20180718-1315-0007,ch1,11,0,188.78246
20180718-1315-0007,ch1,11,0,118.21359
20180718-1315-0007,ch1,11,0,68.31741
20180718-1315-0007,ch1,11,0,37.9581
20180718-1315-0007,ch1,11,0,21.56247
20180718-1315-0007,ch1,11,0,13.665567
20180718-1315-0007,ch1,11,0,10.39143
20180718-1315-0007,ch1,11,0,9.64389
20180718-1315-0007,ch1,11,0,10.4268465
20180718-1315-0007,ch1,11,0,12.018902
20180718-1315-0007,ch1,11,0,13.657572
20180718-1315-0007,ch1,11,0,14.647257
20180718-1315-0007,ch1,11,0,14.363214
20180718-1315-0007,ch1,11,0,12.802555
20180718-1315-0007,ch1,11,0,10.455964
20180718-1315-0007,ch1,11,0,7.8887305
20180718-1315-0007,ch1,11,0,5.6979423
20180718-1315-0007,ch1,11,0,4.0729656
20180718-1315-0007,ch1,11,0,2.9513588
20180718-1315-0007,ch1,11,0,2.2156243
20180718-1315-0007,ch1,11,0,1.7395425
20180718-1315-0007,ch1,11,0,1.4271588
20180718-1315-0007,ch1,11,0,1.2402668
20180718-1315-0007,ch1,11,0,1.1575356
20180718-1315-0007,ch1,11,0,1.1656268
20180718-1315-0007,ch1,11,0,1.2700566
20180718-1315-0007,ch1,11,0,1.476485
20180718-1315-0007,ch1,11,0,1.771071
20180718-1315-0007,ch1,11,0,2.1318674
20180718-1315-0007,ch1,11,0,2.5025246
20180718-1315-0007,ch1,11,0,2.7701864
20180718-1315-0007,ch1,11,0,2.8472333
20180718-1315-0007,ch1,11,0,2.6738029
20180718-1315-0007,ch1,11,0,2.245319
20180718-1315-0007,ch1,11,0,1.686896
20180718-1315-0007,ch1,11,0,1.1257498
20180718-1315-0007,ch1,11,0,0.66308963
20180718-1315-0007,ch1,11,0,0.35628837
20180718-1315-0007,ch1,11,0,0.18267727
20180718-1315-0007,ch1,11,0,0.09682753
20180718-1315-0007,ch1,11,0,0.05923241
20180718-1315-0007,ch1,11,0,0.047676295
20180718-1315-0007,ch1,11,0,0.055432003
20180718-1315-0007,ch1,11,0,0.09273229
20180718-1315-0007,ch1,11,0,0.19565427
20180718-1315-0007,ch1,11,0,0.44898802
20180718-1315-0007,ch1,11,0,0.974265
20180718-1315-0007,ch1,11,0,1.8515725
20180718-1315-0007,ch1,11,0,2.9121172
20180718-1315-0007,ch1,11,0,3.7873335
20180718-1315-0007,ch1,11,0,4.109705
20180718-1315-0007,ch1,11,0,3.745134
20180718-1315-0007,ch1,11,0,2.9036944
20180718-1315-0007,ch1,11,0,1.9594977
20180718-1315-0007,ch1,11,0,1.2140124
20180718-1315-0007,ch1,11,0,0.74077904
20180718-1315-0007,ch1,11,0,0.48103824
20180718-1315-0007,ch1,11,0,0.35412547
20180718-1315-0007,ch1,11,0,0.31289116
20180718-1315-0007,ch1,11,0,0.34145048
20180718-1315-0007,ch1,11,0,0.45170727
20180718-1315-0007,ch1,11,0,0.6665221
20180718-1315-0007,ch1,11,0,0.98535454
20180718-1315-0007,ch1,11,0,1.3313706
20180718-1315-0007,ch1,11,0,1.5680522
20180718-1315-0007,ch1,11,0,1.5880164
20180718-1315-0007,ch1,11,0,1.3701237
20180718-1315-0007,ch1,11,0,1.0083747
20180718-1315-0007,ch1,11,0,0.6452303
20180718-1315-0007,ch1,11,0,0.37456533
20180718-1315-0007,ch1,11,0,0.21579114
20180718-1315-0007,ch1,11,0,0.13853899
20180718-1315-0007,ch1,11,0,0.108797744
20180718-1315-0007,ch1,11,0,0.11263715
20180718-1315-0007,ch1,11,0,0.15270737
20180718-1315-0007,ch1,11,0,0.2548086
20180718-1315-0007,ch1,11,0,0.46720132
20180718-1315-0007,ch1,11,0,0.841218
20180718-1315-0007,ch1,11,0,1.3652625
20180718-1315-0007,ch1,11,0,1.8926706
20180718-1315-0007,ch1,11,0,2.2370148
20180718-1315-0007,ch1,11,0,2.2508566
20180718-1315-0007,ch1,11,0,1.9538395
20180718-1315-0007,ch1,11,0,1.5079682
20180718-1315-0007,ch1,11,0,1.0915875
20180718-1315-0007,ch1,11,0,0.82980627
20180718-1315-0007,ch1,11,0,0.7329061
20180718-1315-0007,ch1,11,0,0.7943522
20180718-1315-0007,ch1,11,0,1.031378
20180718-1315-0007,ch1,11,0,1.4659693
20180718-1315-0007,ch1,11,0,2.1139913
20180718-1315-0007,ch1,11,0,2.9272652
20180718-1315-0007,ch1,11,0,3.7686274
20180718-1315-0007,ch1,11,0,4.494155
20180718-1315-0007,ch1,11,0,4.9202356
20180718-1315-0007,ch1,11,0,5.0021963
20180718-1315-0007,ch1,11,0,4.7964854
20180718-1315-0007,ch1,11,0,4.3819427
20180718-1315-0007,ch1,11,0,3.8954735
20180718-1315-0007,ch1,11,0,3.4023008
20180718-1315-0007,ch1,11,0,2.9559426
20180718-1315-0007,ch1,11,0,2.567604
20180718-1315-0007,ch1,11,0,2.2631469
20180718-1315-0007,ch1,11,0,2.0485847
20180718-1315-0007,ch1,11,0,1.9001957
